date,value
2023-01-01,380699271814.508
2022-01-01,406920004594.074
2021-01-01,420886877628.703
2020-01-01,337974655408.055
2019-01-01,389330032224.269
2018-01-01,405260723892.517
2017-01-01,381448814653.456
2016-01-01,323585509674.481
2015-01-01,346709790458.563
2014-01-01,381198869776.106
2013-01-01,400886013595.573
