observation_date,CPALTT01BRQ657N
2014-01-01,2.12472372163468970
2014-04-01,1.96402873355583996
2014-07-01,0.78822057999029416
2014-10-01,1.49111723040833000
2015-01-01,3.21999289038796022
2015-04-01,2.77419148152302020
2015-07-01,1.72768773505358020
2015-10-01,2.26515028481954017
2016-01-01,3.01702601656831959
2016-04-01,1.84361486380852990
2016-07-01,1.33793902128180009
2016-10-01,0.68145020946560997
2017-01-01,0.94632742663040081
2017-04-01,0.54702843147519298
2017-07-01,0.36989489882874499
2017-10-01,0.92637814720249301
2018-01-01,0.92250332309464900
2018-04-01,1.07781337818487000
2018-07-01,1.40452455599451009
2018-10-01,0.64986676316741199
2019-01-01,0.88943974970697803
2019-04-01,1.30671734486336999
2019-07-01,0.30028781579790298
2019-10-01,0.83618427555245300
2020-01-01,1.33800625811035001
2020-04-01,-0.34721485510455902
2020-07-01,0.78163844744386601
2020-10-01,2.43192426419052010
2021-01-01,2.34397700244399987
2021-04-01,1.95718969821546995
2021-07-01,2.57983879640852987
2021-10-01,3.22238423904388016
2022-01-01,2.58050843735450997
2022-04-01,3.03651308641606965
2022-07-01,-0.41788712736233002
2022-10-01,0.75665739579656799
2023-01-01,1.88918949980898998
2023-04-01,1.49422238752429992
2023-07-01,0.38377549784184201
2023-10-01,0.86615319860281115
2024-01-01,1.50042817108649107
