observation_date,XTIMVA01BRQ188S
2013-07-01,9.94166212291351
2013-10-01,9.82204361522118
2014-01-01,9.88081465854243
2014-04-01,9.21579878883462
2014-07-01,9.09209239640766
2014-10-01,9.37021028298426
2015-01-01,9.80346529964355
2015-04-01,9.34923758375589
2015-07-01,9.38386760265720
2015-10-01,9.38880960761726
2016-01-01,8.69558309462040
2016-04-01,8.00365572407640
2016-07-01,7.21797110318973
2016-10-01,7.19016169909995
2017-01-01,7.37761983414825
2017-04-01,7.62103173519924
2017-07-01,7.78742091147415
2017-10-01,8.08521710374444
2018-01-01,8.34963778666984
2018-04-01,9.33752775006190
2018-07-01,11.23539686340810
2018-10-01,9.68376223472917
2019-01-01,9.78228660053255
2019-04-01,9.86108311844316
2019-07-01,10.24170056191170
2019-10-01,9.65876762568455
2020-01-01,10.84169352643180
2020-04-01,10.48373578438610
2020-07-01,9.75509304537166
2020-10-01,11.51983146666800
2021-01-01,12.20821318601760
2021-04-01,12.76162352019420
2021-07-01,12.57264351675050
2021-10-01,14.84916166236540
2022-01-01,13.79976914528130
2022-04-01,13.94134848522420
2022-07-01,14.67145521948960
2022-10-01,13.48409701981830
2023-01-01,12.05820032787740
2023-04-01,11.41371448028490
2023-07-01,10.53197325195420
