date,value
2023-01-01,2173665655937.27
2022-01-01,1951923942083.32
2021-01-01,1670647399034.67
2020-01-01,1476107231194.11
2019-01-01,1873288205186.45
2018-01-01,1916933898038.36
2017-01-01,2063514977334.32
2016-01-01,1795693482652.52
2015-01-01,1802212206904.68
2014-01-01,2456043727198.85
2013-01-01,2472819535742.73
