date,value
2023-01-01,3567551674623.01
2022-01-01,3353470496886.33
2021-01-01,3167270623260.47
2020-01-01,2674851578587.27
2019-01-01,2835606256558.19
2018-01-01,2702929641648.74
2017-01-01,2651474262755.45
2016-01-01,2294796885663.16
2015-01-01,2103588360044.94
2014-01-01,2039126479154.52
2013-01-01,1856721507621.58
